sample	bam_path
bc1020	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/241209Chi/r84147_20250131_192536/1_A01/hifi_reads/m84147_250131_193320_s1.hifi_reads.bc1020.bam
bc1015	/orcd/data/chisholm/001/chisholmlab/experiment_repository/2024/241209Chi/r84147_20250131_192536/1_A01/hifi_reads/m84147_250131_193320_s1.hifi_reads.bc1015.bam
